epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.498,0.6034,2.11681,1.05054,0.25789,0.14458,0.07965,0.06746,0.63568,3.15226,1.03701,0.00332923,0.00332923,0.00332923
2,825.216,0.61686,1.3587,1.02548,0.26894,0.11499,0.07079,0.05297,0.88181,3.22378,1.2317,0.00664058,0.00664058,0.00664058
3,1228.98,0.73537,1.38339,1.0838,0.35051,0.05915,0.03759,0.02727,1.15422,3.68446,1.49955,0.00992993,0.00992993,0.00992993
4,1629.2,0.75681,1.32121,1.09107,0.24553,0.0664,0.0376,0.02543,1.33558,3.63798,1.63096,0.009901,0.009901,0.009901
5,2037.05,0.68315,1.15408,1.05542,0.25545,0.0973,0.0561,0.04232,0.99152,3.12329,1.31183,0.009868,0.009868,0.009868
6,2437.63,0.62681,1.04211,1.02663,0.23974,0.1063,0.07126,0.05123,1.01592,3.04463,1.33808,0.009835,0.009835,0.009835
7,2842.31,0.58102,0.97465,1.00781,0.22518,0.13771,0.08039,0.06199,0.89068,2.94594,1.25346,0.009802,0.009802,0.009802
8,3244.79,0.55231,0.92293,0.99553,0.21653,0.14652,0.09104,0.0709,0.85883,2.8354,1.2192,0.009769,0.009769,0.009769
9,3650.33,0.52677,0.88279,0.98318,0.26473,0.17318,0.11166,0.08927,0.84689,2.7198,1.24019,0.009736,0.009736,0.009736
10,4051.19,0.50115,0.83478,0.97107,0.24184,0.16841,0.11684,0.09132,0.82496,2.64336,1.20156,0.009703,0.009703,0.009703
11,4452.91,0.48213,0.81446,0.96562,0.27275,0.19256,0.13752,0.11108,0.78818,2.59707,1.19455,0.00967,0.00967,0.00967
12,4853.26,0.46608,0.79256,0.95869,0.2346,0.21031,0.14779,0.12003,0.73589,2.46478,1.13713,0.009637,0.009637,0.009637
13,5253.78,0.45547,0.76832,0.95392,0.22369,0.19404,0.15642,0.12605,0.76068,2.44857,1.15676,0.009604,0.009604,0.009604
14,5653.95,0.44231,0.75503,0.9488,0.26668,0.20534,0.15033,0.124,0.75452,2.4463,1.15822,0.009571,0.009571,0.009571
15,6054.86,0.43367,0.72777,0.94174,0.24666,0.244,0.17176,0.1396,0.73778,2.39842,1.15188,0.009538,0.009538,0.009538
16,6456.08,0.42167,0.71694,0.93808,0.22895,0.25978,0.18538,0.15361,0.70612,2.27399,1.11736,0.009505,0.009505,0.009505
17,6860.67,0.41585,0.69928,0.93771,0.23937,0.25918,0.17904,0.14876,0.70341,2.32752,1.12519,0.009472,0.009472,0.009472
18,7260.86,0.40647,0.69189,0.93318,0.25864,0.28259,0.21498,0.17701,0.70169,2.21025,1.11852,0.009439,0.009439,0.009439
19,7661.59,0.4007,0.68354,0.92694,0.23903,0.26393,0.20694,0.17289,0.66232,2.20224,1.09848,0.009406,0.009406,0.009406
20,8061.65,0.39221,0.66894,0.9226,0.27432,0.31484,0.22424,0.18816,0.66747,2.15145,1.11021,0.009373,0.009373,0.009373
21,8462.79,0.38568,0.65687,0.92211,0.31154,0.25984,0.21993,0.18469,0.67177,2.18571,1.1047,0.00934,0.00934,0.00934
22,8863.86,0.38412,0.65723,0.92197,0.31175,0.28812,0.25004,0.20929,0.65007,2.05588,1.09158,0.009307,0.009307,0.009307
23,9264.95,0.3778,0.6394,0.9205,0.30731,0.29064,0.24283,0.1992,0.64478,2.09751,1.0855,0.009274,0.009274,0.009274
